"id","y_2017","y_2018","y_2019","y_2020","y_2021"
180390001001,3.78,2.36,1.13,0.0,0.0
180390001002,17.68,5.14,6.29,1.64,6.37
180390003011,2.24,3.58,3.37,3.84,2.62
180390003021,0.0,0.0,0.0,0.0,4.4
180390003022,14.6,0.0,0.0,0.0,0.0
180390003023,7.21,8.45,12.28,2.59,0.0
180390003024,4.9,3.35,2.84,3.34,0.0
180390003025,6.17,3.09,3.8,12.28,11.54
180390004001,11.25,7.81,2.78,0.0,0.0
180390004002,0.0,0.0,10.32,10.2,9.25
180390004003,1.3,2.04,2.6,1.96,1.66
180390005011,10.01,8.64,3.73,10.48,11.97
180390005012,8.21,10.87,8.21,0.0,0.0
180390005021,13.58,1.2,31.23,28.48,27.19
180390005022,2.03,5.25,4.84,4.63,7.72
180390005023,5.61,3.4,7.11,8.35,0.0
180390008011,1.69,0.0,0.0,0.0,1.76
180390008012,7.77,7.03,6.64,3.85,4.59
180390010001,5.28,2.09,9.16,8.24,5.98
180390010002,0.0,1.81,2.06,1.78,2.42
180390010003,0.0,0.0,0.0,5.94,5.39
180390011001,3.01,6.13,7.77,7.52,6.65
180390011002,0.0,0.0,1.2,1.29,1.26
180390011003,0.0,0.0,0.0,0.0,0.0
180390012001,2.16,1.92,5.17,4.16,3.15
180390012002,7.34,5.21,2.56,0.0,3.18
180390012003,9.28,5.16,4.76,2.9,2.53
180390012004,22.81,11.47,10.62,7.78,11.58
180390015011,10.0,14.24,13.17,7.65,6.59
180390015012,10.69,10.67,7.72,10.85,8.72
180390015021,1.41,1.77,2.27,1.53,0.0
180390015022,2.81,3.61,0.0,0.0,0.0
180390015023,1.46,3.62,4.17,9.0,6.81
180390016011,3.56,2.93,0.0,5.68,5.59
180390016012,1.99,1.75,1.84,0.0,0.0
180390016013,0.0,0.0,0.0,0.0,0.0
180390016021,6.25,6.41,9.3,2.06,2.31
180390016022,15.91,20.43,19.85,10.75,8.96
180390016023,4.34,0.0,1.06,0.99,0.85
180390017011,5.03,5.21,4.35,9.91,10.33
180390017021,12.22,9.14,4.0,7.95,0.0
180390017022,6.75,0.0,0.0,0.0,0.0
180390017023,3.95,2.58,3.31,16.01,16.33
180390017024,12.15,28.44,20.43,15.11,11.55
180390017025,5.36,7.32,6.01,0.0,3.94
180390018011,2.28,2.57,5.11,4.82,5.4
180390018012,13.1,12.08,2.28,3.76,3.95
180390018013,1.31,1.19,1.19,1.04,0.98
180390018021,0.0,4.19,5.4,0.0,0.0
180390018022,4.11,0.0,0.0,0.0,0.0
180390018023,10.2,6.54,7.37,6.04,5.97
180390018024,3.98,11.39,6.86,4.56,7.37
180390019011,17.73,16.39,13.78,15.71,22.85
180390019012,0.0,0.0,0.0,0.0,0.0
180390019013,13.92,30.74,26.55,46.57,47.96
180390019014,0.0,1.93,1.8,1.35,1.56
180390019015,0.0,2.72,3.13,1.02,1.24
180390019021,6.53,4.87,5.47,3.47,0.0
180390019022,3.0,1.62,2.75,5.3,3.4
180390021011,0.0,0.92,1.68,3.41,6.43
180390021012,12.95,7.29,3.98,1.89,1.57
180390021021,10.22,6.81,7.07,8.18,3.5
180390021022,2.7,7.94,4.19,3.7,5.19
180390021023,19.21,15.53,16.0,0.0,0.0
180390023001,15.77,11.24,14.56,9.98,7.92
180390023002,0.0,2.35,2.65,3.23,6.18
180390023003,10.56,3.79,2.49,2.4,2.9
180390024001,9.71,15.24,18.06,18.98,13.8
180390024002,8.92,9.69,10.6,0.0,0.0
180390024003,1.79,2.89,2.5,2.35,0.0
180390024004,12.45,15.0,11.59,3.47,2.91
180390024005,8.83,7.78,9.29,9.8,8.92
